seed,profile,method,evidence_status,forward_mean,feedback_mean,round_trip_mean,round_trip_p95,round_trip_p99,round_trip_max,post_cost,total_cost,delivery_rate,ack_rate,redundant_attempt_rate,stale_arrival_rate,mean_inflight_per_slot,capacity_utilization,max_inflight_count,learned_wait_threshold,detected_fraction,calendar_delay,observation_delay
20266005,feedback_heavy,he_rm,retrospective_addendum,2.0,1.9972153465346534,3.9972153465346536,13.0,13.0,13,1046.7404405407933,1117.4142836805772,0.897445059853493,0.9947293192781848,0.0,0.0,17.454375,0.87453125,1,3.148291961132913,nan,nan,nan
20266006,fixed,he_rm,retrospective_addendum,2.0,2.0,4.0,4.0,4.0,4,464.89776599252497,502.5636445949872,0.897109375,0.995,0.0,0.0,19.95,1.0,1,2.026564424287284,nan,nan,nan
20266006,light_iid,he_rm,retrospective_addendum,2.0016089108910893,1.9978032178217822,3.9994121287128714,6.0,6.0,6,578.4367049932127,619.5905448691609,0.8953379357368108,0.9949714480525015,0.0,0.0,18.22125,0.916640625,1,2.260798404489966,nan,nan,nan
20266006,heavy_iid,he_rm,retrospective_addendum,2.0083539603960396,1.994430693069307,4.002784653465347,12.0,22.0,22,1642.9819541550914,1887.2068402519726,0.8965588295899444,0.9956727797238821,0.0,0.0,14.85125,0.75828125,1,3.8787391262316775,nan,nan,nan
20266006,lognormal,he_rm,retrospective_addendum,2.331048886138614,2.3291460396039603,4.660194925742574,14.0,33.0,121,6976.175623230203,12374.41873245523,0.8935274712774428,0.9954498919349335,0.0,0.0,15.2425,0.686796875,1,5.657325496335744,nan,nan,nan
20266006,markov_burst,he_rm,retrospective_addendum,2.025371287128713,2.0215810643564356,4.046952351485149,7.0,12.0,12,1429.6397378501738,1388.5634557927415,0.8972914015633521,0.9958189420105436,0.0,0.0,17.1603125,0.85953125,1,2.9468704439643068,nan,nan,nan
20266006,forward_heavy,he_rm,retrospective_addendum,2.0083539603960396,2.0,4.00835396039604,13.0,13.0,13,1316.2371071170207,1446.978901043266,0.8960223307745987,0.9953768318213538,0.0,0.0,17.685,0.895625,1,3.108264098654246,nan,nan,nan
20266006,feedback_heavy,he_rm,retrospective_addendum,2.0,1.994430693069307,3.9944306930693068,13.0,13.0,13,943.1723711271029,1018.8910733129142,0.8951104800780904,0.9948531369243057,0.0,0.0,17.4559375,0.880390625,1,3.126987549431348,nan,nan,nan
20266007,fixed,he_rm,retrospective_addendum,2.0,2.0,4.0,4.0,4.0,4,540.0250016644527,607.8279309075829,0.897578125,0.995,0.0,0.0,19.95,1.0,1,2.0179735932712104,nan,nan,nan
20266007,light_iid,he_rm,retrospective_addendum,2.0010829207920793,1.9996596534653466,4.000742574257425,6.0,6.0,6,719.4952898616286,767.8195431550964,0.8984455073454048,0.9951315339938503,0.0,0.0,18.2528125,0.9146875,1,2.262594692847618,nan,nan,nan
20266007,heavy_iid,he_rm,retrospective_addendum,2.004641089108911,2.00990099009901,4.014542079207921,12.0,22.0,22,2072.21368357334,2336.7999660376217,0.8980905158772022,0.9955691528642262,0.0,0.0,14.869375,0.740546875,1,3.9466697008376572,nan,nan,nan
20266007,lognormal,he_rm,retrospective_addendum,2.318579826732673,2.3462407178217823,4.6648205445544555,14.0,33.0,83,10278.788153238478,10814.789032843302,0.8989504242965609,0.9946404644930773,0.0,0.0,15.3340625,0.6996875,1,5.420853008515111,nan,nan,nan
20266007,markov_burst,he_rm,retrospective_addendum,2.0244430693069306,1.981512995049505,4.005956064356436,7.0,12.0,12,1363.4598870725772,1598.0614826140436,0.8987203920500952,0.9950993738088756,0.0,0.0,17.03875,0.860859375,1,2.914850199343712,nan,nan,nan
20266007,forward_heavy,he_rm,retrospective_addendum,2.004641089108911,2.0,4.004641089108911,13.0,13.0,13,1436.8458198151873,1606.1800328213385,0.898726339996462,0.9949584291526623,0.0,0.0,17.5078125,0.88328125,1,3.1150787831233457,nan,nan,nan
20266007,feedback_heavy,he_rm,retrospective_addendum,2.0,2.00990099009901,4.00990099009901,13.0,13.0,13,1108.051952199629,1301.4934974395937,0.8986966292134831,0.9950561797752809,0.0,0.0,17.5021875,0.869140625,1,3.158583318632124,nan,nan,nan
20266008,fixed,he_rm,retrospective_addendum,2.0,2.0,4.0,4.0,4.0,4,407.1447906493962,495.64614124854074,0.894921875,0.995,0.0,0.0,19.95,1.0,1,2.0394505340972,nan,nan,nan
20266008,light_iid,he_rm,retrospective_addendum,2.001237623762376,1.9999071782178217,4.001144801980198,6.0,6.0,6,489.39575899167534,600.8564502262352,0.8945162118230815,0.9953802720506459,0.0,0.0,18.22875,0.913203125,1,2.2868222308967066,nan,nan,nan
20266008,heavy_iid,he_rm,retrospective_addendum,1.994740099009901,1.9952042079207921,3.9899443069306932,12.0,22.0,22,1274.4584836403337,1798.2539380613055,0.8921393244238661,0.9949489634852152,0.0,0.0,14.818125,0.742421875,1,4.012961700971213,nan,nan,nan
20266008,lognormal,he_rm,retrospective_addendum,2.3247524752475246,2.328697400990099,4.653449876237624,14.0,33.0,125,5873.289826758855,9414.403879333297,0.891491395793499,0.9943833652007649,0.0,0.0,14.8734375,0.65375,1,5.51051016437348,nan,nan,nan
20266008,markov_burst,he_rm,retrospective_addendum,1.9964418316831682,2.0100556930693068,4.006497524752476,7.0,12.0,12,1191.2923107181514,1408.2977247116007,0.8929361859092586,0.9950202877167097,0.0,0.0,17.151875,0.8471875,1,3.0107593300529283,nan,nan,nan
20266008,forward_heavy,he_rm,retrospective_addendum,1.994740099009901,2.0,3.994740099009901,13.0,13.0,13,1047.8732538346296,1337.0727610694125,0.8935102187163858,0.9955181068483328,0.0,0.0,17.469375,0.8715625,1,3.1575678095553394,nan,nan,nan
20266008,feedback_heavy,he_rm,retrospective_addendum,2.0,1.9952042079207921,3.995204207920792,13.0,13.0,13,769.1278040312123,1033.0493065593193,0.894404973357016,0.9955595026642984,0.0,0.0,17.501875,0.8796875,1,3.203364956371445,nan,nan,nan
20266009,fixed,he_rm,retrospective_addendum,2.0,2.0,4.0,4.0,4.0,4,519.2659647799853,548.235347414738,0.89921875,0.995,0.0,0.0,19.95,1.0,1,2.0170512899230233,nan,nan,nan
20266009,light_iid,he_rm,retrospective_addendum,1.994430693069307,2.0020111386138613,3.9964418316831685,6.0,6.0,6,659.4037980618626,683.2952829228415,0.9011672488710915,0.9950583624435546,0.0,0.0,18.275625,0.916953125,1,2.267519988405694,nan,nan,nan
20266009,heavy_iid,he_rm,retrospective_addendum,2.000773514851485,1.984839108910891,3.985612623762376,12.0,22.0,22,2155.1101867530206,2118.0128346633683,0.899823706315462,0.9949185937986104,0.0,0.0,14.9528125,0.753359375,1,3.9020607282911337,nan,nan,nan
20266009,lognormal,he_rm,retrospective_addendum,2.333818069306931,2.3445080445544555,4.678326113861386,14.0,34.0,78,8371.903107919356,13739.492510565142,0.9017690875232774,0.9941806331471136,0.0,0.0,15.0178125,0.67125,1,5.5511729212188845,nan,nan,nan
20266009,markov_burst,he_rm,retrospective_addendum,1.9860767326732673,2.010210396039604,3.996287128712871,7.0,12.0,12,1866.3795251863871,1637.0672114320225,0.9006120398282634,0.9952498401388509,0.0,0.0,17.1621875,0.855234375,1,2.9725964265293827,nan,nan,nan
20266009,forward_heavy,he_rm,retrospective_addendum,2.000773514851485,2.0,4.000773514851486,13.0,13.0,13,1658.882560527742,1606.4901184596652,0.9004886717014661,0.9946690359840071,0.0,0.0,17.5971875,0.879296875,1,3.159682311566506,nan,nan,nan
20266009,feedback_heavy,he_rm,retrospective_addendum,2.0,1.984839108910891,3.984839108910891,13.0,13.0,13,1074.8968139620767,1155.1095016838956,0.9007901668129938,0.9948200175592625,0.0,0.0,17.615,0.88984375,1,3.1119298168275655,nan,nan,nan
20266010,fixed,he_rm,retrospective_addendum,2.0,2.0,4.0,4.0,4.0,4,434.1122539055568,463.57812913084297,0.900546875,0.995,0.0,0.0,19.95,1.0,1,2.008303340544142,nan,nan,nan
20266010,light_iid,he_rm,retrospective_addendum,1.9956373762376238,2.0030012376237623,3.9986386138613863,6.0,6.0,6,556.3989173794084,587.7639962046438,0.8999829613222013,0.9953143636053842,0.0,0.0,18.224375,0.91703125,1,2.2497532948336514,nan,nan,nan
20266010,heavy_iid,he_rm,retrospective_addendum,1.989789603960396,2.0021658415841586,3.9919554455445545,12.0,22.0,22,1693.0686750954142,1663.4650930956143,0.9011045203518102,0.9960114542851299,0.0,0.0,14.785,0.76390625,1,3.8442824522642374,nan,nan,nan
20266010,lognormal,he_rm,retrospective_addendum,2.326825495049505,2.3261293316831684,4.652954826732674,14.0,33.0,125,7033.452844376452,6879.115341440389,0.901035802747129,0.9949335735194776,0.0,0.0,15.203125,0.69390625,1,5.252207807156871,nan,nan,nan
20266010,markov_burst,he_rm,retrospective_addendum,1.9988397277227723,1.9959777227722773,3.9948174504950495,7.0,12.0,12,1465.317313523936,1437.1595349308066,0.9002394988946205,0.9953021370670597,0.0,0.0,17.1503125,0.848125,1,2.991390952204727,nan,nan,nan
20266010,forward_heavy,he_rm,retrospective_addendum,1.989789603960396,2.0,3.989789603960396,13.0,13.0,13,1234.2274028434458,1264.2368162646544,0.9002460889435753,0.9951661100369134,0.0,0.0,17.5690625,0.88890625,1,3.121882534281299,nan,nan,nan
20266010,feedback_heavy,he_rm,retrospective_addendum,2.0,2.0021658415841586,4.002165841584159,13.0,13.0,13,861.4116860606927,893.920605515575,0.8986263258563728,0.9952182229177534,0.0,0.0,17.6265625,0.89859375,1,3.046226587300865,nan,nan,nan
20266011,fixed,he_rm,retrospective_addendum,2.0,2.0,4.0,4.0,4.0,4,413.62051319481947,479.9839160948913,0.9020634672502735,0.9949976551508519,0.0,0.0,19.940625,0.99953125,1,2.019064508342759,nan,nan,nan
20266011,light_iid,he_rm,retrospective_addendum,1.999009900990099,2.0000928217821783,3.9991027227722773,6.0,6.0,6,518.6604457820431,598.4127120334499,0.9008102345415778,0.9949680170575693,0.0,0.0,18.2746875,0.916015625,1,2.272195214111526,nan,nan,nan
20266011,heavy_iid,he_rm,retrospective_addendum,1.9989170792079207,1.9970606435643565,3.995977722772277,12.0,12.0,22,1741.7763343166534,2015.5468188987875,0.9027689706193194,0.9957725639399704,0.0,0.0,14.865,0.73921875,1,3.9607489487078213,nan,nan,nan
20266011,lognormal,he_rm,retrospective_addendum,2.334792698019802,2.363907797029703,4.698700495049505,14.0,34.0,104,8863.059036502458,18627.881164336944,0.9017417417417417,0.993993993993994,0.0,0.0,14.7775,0.650390625,1,5.842679117363109,nan,nan,nan
20266011,markov_burst,he_rm,retrospective_addendum,1.9808168316831682,2.023050742574257,4.003867574257426,7.0,12.0,12,1142.759083426546,1393.157471828897,0.900491059019735,0.9953673677383489,0.0,0.0,16.9925,0.843203125,1,3.0141952356825525,nan,nan,nan
20266011,forward_heavy,he_rm,retrospective_addendum,1.9989170792079207,2.0,3.9989170792079207,13.0,13.0,13,1184.9457767690137,1420.4845764605213,0.9010439903631658,0.9952708128848041,0.0,0.0,17.514375,0.875546875,1,3.1370782015571774,nan,nan,nan
20266011,feedback_heavy,he_rm,retrospective_addendum,2.0,1.9970606435643565,3.9970606435643563,13.0,13.0,13,878.9831434001472,1067.5118229642328,0.9007237959074256,0.9949066213921901,0.0,0.0,17.536875,0.874296875,1,3.156226009475437,nan,nan,nan
