seed,delay_slots,inflight_beta,reference_post_cost,method_post_cost,post_excess_pct,redundant_attempt_rate,calendar_delay,detected_fraction
20262001,3,8.0,611.1727021441927,201.9956074011418,-66.94950433936668,0.353125,33.45454545454545,1.0
20262001,3,16.0,611.1727021441927,197.1821705017022,-67.73707827428761,0.23854166666666668,35.36363636363637,1.0
20262001,3,32.0,611.1727021441927,201.5955817099249,-67.01495649222193,0.14895833333333333,33.7,0.9090909090909091
20262001,3,64.0,611.1727021441927,202.9200496276286,-66.79824721953074,0.08802083333333334,35.4,0.9090909090909091
20262001,3,1000000.0,611.1727021441927,214.8171927934038,-64.85163816385202,0.0,33.72727272727273,1.0
20262001,5,8.0,1692.801372605027,447.7749647481936,-73.54828676331238,0.6526041666666667,34.18181818181818,1.0
20262001,5,16.0,1692.801372605027,432.66980197432514,-74.44060425657051,0.61875,36.36363636363637,1.0
20262001,5,32.0,1692.801372605027,442.16352408984903,-73.87977519126122,0.5921875,36.72727272727273,1.0
20262001,5,64.0,1692.801372605027,446.25637612743697,-73.63799537563584,0.5802083333333333,37.27272727272727,1.0
20262001,5,1000000.0,1692.801372605027,441.9834841872778,-73.89041081015218,0.5729166666666666,34.81818181818182,1.0
20262002,1,8.0,204.00754879350444,110.29248556314722,-45.937056635691064,0.03802083333333333,34.111111111111114,1.0
20262002,1,16.0,204.00754879350444,107.12179909979359,-47.49125719449636,0.005729166666666666,34.0,1.0
20262002,1,32.0,204.00754879350444,106.52319911170073,-47.78467770350838,0.0005208333333333333,34.44444444444444,1.0
20262002,1,64.0,204.00754879350444,106.4017255243026,-47.844221376336435,0.0,34.44444444444444,1.0
20262002,1,1000000.0,204.00754879350444,106.4017255243026,-47.844221376336435,0.0,34.44444444444444,1.0
20262002,3,8.0,1027.3449996916784,335.67371900600045,-67.3260959943601,0.36302083333333335,38.333333333333336,1.0
20262002,3,16.0,1027.3449996916784,328.51775259090226,-68.02264549012304,0.2453125,36.666666666666664,1.0
20262002,3,32.0,1027.3449996916784,328.3264394964296,-68.04126757856754,0.17447916666666666,35.77777777777778,1.0
20262002,3,64.0,1027.3449996916784,338.4902379930471,-67.0519408675145,0.0984375,34.666666666666664,1.0
20262002,3,1000000.0,1027.3449996916784,357.44898640588156,-65.2065288181519,0.0,32.55555555555556,1.0
20262002,5,8.0,2999.974726080168,786.5312580749426,-73.78207052088597,0.6645833333333333,41.333333333333336,1.0
20262002,5,16.0,2999.974726080168,747.1279220627966,-75.09552612001468,0.6197916666666666,40.77777777777778,1.0
20262002,5,32.0,2999.974726080168,765.8657226335752,-74.47092750563695,0.6088541666666667,37.888888888888886,1.0
20262002,5,64.0,2999.974726080168,754.2411634030116,-74.85841607777411,0.6,37.44444444444444,1.0
20262002,5,1000000.0,2999.974726080168,769.5080862201298,-74.34951436322312,0.5885416666666666,33.22222222222222,1.0
20262003,1,8.0,212.564555388124,113.4473361267595,-46.62923180225662,0.049479166666666664,37.22222222222222,1.0
20262003,1,16.0,212.564555388124,111.33633782939107,-47.622341068998644,0.0125,36.888888888888886,1.0
20262003,1,32.0,212.564555388124,110.87823127199792,-47.837855154381636,0.0020833333333333333,34.625,0.8888888888888888
20262003,1,64.0,212.564555388124,111.29381798409244,-47.64234433117045,0.0,37.44444444444444,1.0
20262003,1,1000000.0,212.564555388124,111.29381798409244,-47.64234433117045,0.0,37.44444444444444,1.0
20262003,3,8.0,1028.892330322753,347.84733685749825,-66.19205658298745,0.4015625,46.111111111111114,1.0
20262003,3,16.0,1028.892330322753,345.29091797570777,-66.44051979011316,0.29583333333333334,38.375,0.8888888888888888
20262003,3,32.0,1028.892330322753,348.43598138638174,-66.13484510307498,0.20052083333333334,38.333333333333336,1.0
20262003,3,64.0,1028.892330322753,360.27435608803455,-64.98425097842646,0.10729166666666666,37.22222222222222,1.0
20262003,3,1000000.0,1028.892330322753,402.8798710140014,-60.84334005214889,0.0,38.22222222222222,1.0
20262003,5,8.0,2990.206875312828,793.9032456712341,-73.44988896167332,0.6395833333333333,48.44444444444444,1.0
20262003,5,16.0,2990.206875312828,780.1999827435527,-73.90816036225152,0.5927083333333333,41.888888888888886,1.0
20262003,5,32.0,2990.206875312828,808.0540871816008,-72.97664941335992,0.5604166666666667,42.666666666666664,1.0
20262003,5,64.0,2990.206875312828,822.2318752343358,-72.50250870524415,0.54375,44.888888888888886,1.0
20262003,5,1000000.0,2990.206875312828,796.4326366812058,-73.36529979726285,0.5614583333333333,45.111111111111114,1.0
20262004,1,8.0,199.52268050512683,112.29094215088442,-43.72021172400045,0.03958333333333333,36.0,1.0
20262004,1,16.0,199.52268050512683,110.19413074927209,-44.77112553304906,0.008333333333333333,36.375,1.0
20262004,1,32.0,199.52268050512683,110.48511418112676,-44.62528575627882,0.0015625,37.5,1.0
20262004,1,64.0,199.52268050512683,110.54260476079625,-44.596471698887484,0.0,36.75,1.0
20262004,1,1000000.0,199.52268050512683,110.54260476079625,-44.596471698887484,0.0,36.75,1.0
20262004,3,8.0,952.054197748566,334.7477821547792,-64.83941954708078,0.3828125,36.375,1.0
20262004,3,16.0,952.054197748566,323.8071026645771,-65.98858516349996,0.27708333333333335,35.875,1.0
20262004,3,32.0,952.054197748566,328.9292980525513,-65.45057005888857,0.18489583333333334,36.0,1.0
20262004,3,64.0,952.054197748566,349.5058361031247,-63.2892920455955,0.11354166666666667,36.5,1.0
