seed,profile,forward_mean,feedback_mean,round_trip_mean,round_trip_p95,round_trip_p99,round_trip_max,pa_reduction_vs_sco_pct,pa_reduction_vs_forced_pct,pa_reduction_vs_stopwait_pct,sco_redundant_attempt_rate,pa_redundant_attempt_rate,stopwait_redundant_attempt_rate,sco_stale_arrival_rate,pa_stale_arrival_rate,stopwait_stale_arrival_rate,sco_post_cost,pa_post_cost,stopwait_post_cost,forced_post_cost,pa_calendar_delay,pa_observation_delay
20266001,lognormal,2.349381188118812,2.336664603960396,4.686045792079208,14.0,33.0,86,69.38531602941093,66.9280018472542,36.35635991838562,0.788046875,0.450234375,0.22296875,0.0948803075310152,0.06198166739415103,0.03385098586634095,1830.3211946252989,560.3470493812456,880.4446896228376,1694.3247480640134,49.0,7.32
20266001,markov_burst,2.0169399752475248,1.9871596534653466,4.004099628712871,7.0,12.0,12,75.27265388350384,73.9815833720268,53.738449396565436,0.75453125,0.33703125,0.06671875,0.05588978986834074,0.02224354501046755,0.003397804495556717,2104.9540159458384,520.4992651160134,1125.1228251682733,2000.5032303019102,47.724137931034484,7.586206896551724
20266001,forward_heavy,2.0071163366336635,2.0,4.007116336633663,13.0,13.0,13,76.88774167077344,75.93470801746992,51.05203620034039,0.770078125,0.3109375,0.07484375,0.07005146994678531,0.06946504930622219,0.016216216216216217,1956.521899214555,452.1963956143576,923.8308614126706,1879.039722196698,45.43333333333333,7.433333333333334
20266001,feedback_heavy,2.0,1.9969059405940595,3.9969059405940595,13.0,13.0,13,80.35628141978793,79.309763919978,37.50497005102066,0.76921875,0.3159375,0.075546875,0.0,0.0,0.0,2285.029043912429,448.8646748622683,718.2405948580542,2169.451683036528,46.5,7.464285714285714
20266002,fixed,2.0,2.0,4.0,4.0,4.0,4,87.3536387334592,86.29316225888003,11.345420583692198,0.8003125,0.274375,0.0,0.0,0.0,0.0,4025.391691572252,509.0655757095448,574.2123859378474,3713.953468511325,45.46666666666667,7.3
20266002,light_iid,2.005259900990099,2.0008044554455444,4.006064356435644,6.0,6.0,6,83.24282364182474,82.00056139632379,12.953571788166125,0.77953125,0.341328125,0.097265625,0.11757522895769734,0.01761576698351792,0.003480076561684357,3130.419752690083,524.5699587094309,602.6323761761383,2914.3684437040865,46.89655172413793,7.379310344827586
20266002,heavy_iid,2.00572400990099,2.0068069306930694,4.0125309405940595,12.0,12.0,22,62.35421079807291,60.33530255123578,61.13095471152091,0.744375,0.39390625,0.0953125,0.06462317701510785,0.07499781983081887,0.013749891219215039,1468.2587858215436,552.7376074491524,1422.0508976920655,1393.5253336121773,47.241379310344826,7.413793103448276
20266002,lognormal,2.3318842821782177,2.297478341584158,4.629362623762376,14.0,33.0,91,69.69719868003834,68.23532812280762,41.02647673234725,0.7846875,0.44203125,0.19484375,0.08882296483727424,0.05465339619346953,0.029191355873126525,2120.7667455545034,642.651733365198,1089.7292509530212,2023.1650301624354,49.96,7.44
20266002,markov_burst,1.9891707920792079,2.015238242574257,4.004409034653466,7.0,12.0,12,74.65947025445558,73.93726658214409,52.557120946341385,0.75296875,0.3421875,0.07375,0.05849533606485921,0.025473261798831023,0.0037511995114716916,2338.5123802344433,592.591425316548,1249.0629513573958,2273.7117239995855,47.93103448275862,7.448275862068965
20266002,forward_heavy,2.00572400990099,2.0,4.00572400990099,13.0,13.0,13,76.67595598152255,75.6411194496234,49.3004643396124,0.76921875,0.31,0.062890625,0.06821353803210049,0.06975324788560468,0.013224290934400557,2293.8914238543184,535.0282454358602,1055.2922003462977,2196.4402031093687,45.73076923076923,7.1923076923076925
