seed,family,success_probability,delay_slots,capacity,capacity_ratio,method,frozen_inflight_beta,post_cost,total_cost,reference_post_cost,reference_total_cost,post_ratio_to_reference,total_ratio_to_reference,delivery_rate,redundant_attempt_rate,max_inflight_count,detected_fraction,calendar_delay,observation_delay
20261001,capacity,0.9,1,2,0.1,true,16.0,2587.772340225197,2606.290481327068,2587.772340225197,2606.290481327068,1.0,1.0,0.895,0.51671875,2,nan,nan,nan
20261001,capacity,0.9,1,2,0.1,sco_reset_ucb,16.0,2795.354034902142,2900.5871922280016,2587.772340225197,2606.290481327068,1.080216366583036,1.1129178474193269,0.894375,0.51765625,2,0.9705882352941176,76.0,7.303030303030303
20261001,capacity,0.9,1,2,0.1,ps_forced_reset_ucb,16.0,2718.8598149830987,2823.659204616766,2587.772340225197,2606.290481327068,1.0506564942828371,1.0834015720224013,0.89484375,0.50578125,2,0.9705882352941176,78.87878787878788,7.454545454545454
20261001,capacity,0.9,1,2,0.1,inflight_sco_ucb,16.0,760.3063606527426,794.3390750094353,2587.772340225197,2606.290481327068,0.2938072831347205,0.3047776449710911,0.89515625,0.0,1,0.9705882352941176,79.81818181818181,7.575757575757576
20261001,capacity,0.9,1,4,0.2,true,16.0,442.0282444152113,463.70324131657856,442.0282444152113,463.70324131657856,1.0,1.0,0.899921875,0.5203125,2,nan,nan,nan
20261001,capacity,0.9,1,4,0.2,sco_reset_ucb,16.0,465.5482711391565,499.48839668946414,442.0282444152113,463.70324131657856,1.0532093299944247,1.0771725366233842,0.900234375,0.52125,2,0.9411764705882353,41.65625,7.40625
20261001,capacity,0.9,1,4,0.2,ps_forced_reset_ucb,16.0,459.15001902791164,494.33442719711314,442.0282444152113,463.70324131657856,1.0387345714420395,1.0660577351013645,0.90015625,0.51109375,2,0.9411764705882353,40.96875,7.25
20261001,capacity,0.9,1,4,0.2,inflight_sco_ucb,16.0,196.10234383349328,213.22842065689093,442.0282444152113,463.70324131657856,0.4436421118133077,0.45983810691397786,0.900078125,0.0021875,2,0.9705882352941176,41.27272727272727,7.484848484848484
20261001,capacity,0.9,1,8,0.4,true,16.0,111.02146905176912,117.68544787082823,111.02146905176912,117.68544787082823,1.0,1.0,0.902734375,0.5498828125,2,nan,nan,nan
20261001,capacity,0.9,1,8,0.4,sco_reset_ucb,16.0,113.38634535199071,121.64703902584723,111.02146905176912,117.68544787082823,1.021301071949596,1.0336625404983568,0.902421875,0.5359765625,2,1.0,21.529411764705884,7.5588235294117645
20261001,capacity,0.9,1,8,0.4,ps_forced_reset_ucb,16.0,113.60550905081567,122.09618207826239,111.02146905176912,117.68544787082823,1.0232751378730327,1.0374790111031857,0.90203125,0.5324609375,2,0.9705882352941176,21.333333333333332,7.303030303030303
20261001,capacity,0.9,1,8,0.4,inflight_sco_ucb,16.0,85.75992813464757,92.71385315571317,111.02146905176912,117.68544787082823,0.7724625594231496,0.7878106837599502,0.9023828125,0.0588671875,2,1.0,21.88235294117647,7.4411764705882355
20261002,delay,0.9,0,4,0.2,true,16.0,107.12341968449405,121.03018948940277,107.12341968449405,121.03018948940277,1.0,1.0,0.9053125,0.0,1,nan,nan,nan
20261002,delay,0.9,0,4,0.2,sco_reset_ucb,16.0,111.40813671455558,126.42034837247584,107.12341968449405,121.03018948940277,1.0399979485595319,1.044535655986435,0.90625,0.0,1,0.9393939393939394,40.064516129032256,7.483870967741935
20261002,delay,0.9,0,4,0.2,ps_forced_reset_ucb,16.0,114.47283147495375,129.20566436459708,107.12341968449405,121.03018948940277,1.0686069564629808,1.0675490545762563,0.90609375,0.0,1,0.8787878787878788,39.03448275862069,7.310344827586207
20261002,delay,0.9,0,4,0.2,inflight_sco_ucb,16.0,111.40813671455558,126.42034837247584,107.12341968449405,121.03018948940277,1.0399979485595319,1.044535655986435,0.90625,0.0,1,0.9393939393939394,40.064516129032256,7.483870967741935
20261002,delay,0.9,1,4,0.2,true,16.0,442.30075490836214,494.927965424583,442.30075490836214,494.927965424583,1.0,1.0,0.9053125,0.518671875,2,nan,nan,nan
