seed,delay_slots,method,inflight_beta,post_excess_pct,total_excess_pct,redundant_attempt_rate,calendar_delay,detected_fraction
20262001,1,sco_reset_ucb,nan,7.39737035788427,8.2213819745091,0.5229166666666667,32.18181818181818,1.0
20262001,1,ps_forced_reset_ucb,nan,7.326953991357865,8.629961766728677,0.5161458333333333,31.727272727272727,1.0
20262001,1,inflight_sco_ucb,0.0,7.39737035788427,8.2213819745091,0.5229166666666667,32.18181818181818,1.0
20262001,1,inflight_sco_ucb,0.25,5.892316263034347,4.807981835768082,0.5104166666666666,30.454545454545453,1.0
20262001,1,inflight_sco_ucb,0.5,-6.878604659228332,-5.834470965357452,0.4734375,31.90909090909091,1.0
20262001,1,inflight_sco_ucb,1.0,-16.294677837722798,-16.8389611034327,0.4010416666666667,34.0,1.0
20262001,1,inflight_sco_ucb,2.0,-37.041942981388885,-34.718689977984454,0.24635416666666668,32.1,0.9090909090909091
20262001,1,inflight_sco_ucb,4.0,-41.569260588585635,-40.318517647031975,0.12760416666666666,30.545454545454547,1.0
20262001,3,sco_reset_ucb,nan,8.970989845096234,8.022041934806746,0.753125,33.45454545454545,1.0
20262001,3,ps_forced_reset_ucb,nan,5.907485802244771,5.196214723506076,0.7432291666666667,32.72727272727273,1.0
20262001,3,inflight_sco_ucb,0.0,8.970989845096234,8.022041934806746,0.753125,33.45454545454545,1.0
20262001,3,inflight_sco_ucb,0.25,-13.406866011653346,-12.988816342684993,0.7265625,33.09090909090909,1.0
20262001,3,inflight_sco_ucb,0.5,-28.773961220812673,-28.357447213431122,0.7015625,34.09090909090909,1.0
20262001,3,inflight_sco_ucb,1.0,-46.60156846477004,-47.01298661339106,0.6505208333333333,34.81818181818182,1.0
20262001,3,inflight_sco_ucb,2.0,-59.44049227061457,-58.95526209120864,0.584375,35.4,0.9090909090909091
20262001,3,inflight_sco_ucb,4.0,-65.92908449325589,-64.49776240629048,0.49375,31.9,0.9090909090909091
