delay_slots,method,inflight_beta,seeds,post_excess_pct_mean,post_excess_pct_ci_low,post_excess_pct_ci_high,total_excess_pct_mean,total_excess_pct_ci_low,total_excess_pct_ci_high,redundant_attempt_rate_mean,redundant_attempt_rate_ci_low,redundant_attempt_rate_ci_high,calendar_delay_mean,calendar_delay_ci_low,calendar_delay_ci_high,detected_fraction_mean,detected_fraction_ci_low,detected_fraction_ci_high
3,inflight_sco_ucb,1.0,6,-45.48452918262988,-47.38041471004,-43.588643655219755,-44.878961935917516,-47.1575258313518,-42.600398040483235,0.6496527777777779,0.647468629110394,0.6518369264451617,41.4766835016835,37.39787120677301,45.555495796593995,1.0,1.0,1.0
3,inflight_sco_ucb,2.0,6,-58.27622248896466,-59.392662837112056,-57.15978214081727,-57.18458087526744,-58.67810795925109,-55.69105379128379,0.5819444444444444,0.5795479610382741,0.5843409278506146,40.16632996632996,36.374811463102695,43.95784846955723,0.9848484848484849,0.9551515151515152,1.0145454545454546
3,inflight_sco_ucb,4.0,6,-64.17608726034501,-65.29146592555931,-63.06070859513072,-62.903176612719,-64.2534128054393,-61.55294041999871,0.5000868055555556,0.4961294759435345,0.5040441351675767,39.17588383838384,35.027793641630026,43.32397403513765,0.9848484848484849,0.9551515151515152,1.0145454545454546
5,sco_reset_ucb,nan,6,13.40737446135658,6.807294529596676,20.007454393116486,11.924185845400023,8.161625232667005,15.686746458133042,0.8305555555555556,0.8297360581467211,0.8313750529643901,41.41397306397307,39.230260952942096,43.59768517500404,1.0,1.0,1.0
5,ps_forced_reset_ucb,nan,6,3.659201603838859,-0.920898343582532,8.23930155126025,4.25865073829875,1.67581099646329,6.841490480134211,0.8215277777777777,0.820666935525843,0.8223886200297125,41.35929533429533,39.71057961995027,43.00801104864039,0.9629629629629629,0.8903703703703703,1.0355555555555556
5,inflight_sco_ucb,0.0,6,13.40737446135658,6.807294529596676,20.007454393116486,11.924185845400023,8.161625232667005,15.686746458133042,0.8305555555555556,0.8297360581467211,0.8313750529643901,41.41397306397307,39.230260952942096,43.59768517500404,1.0,1.0,1.0
5,inflight_sco_ucb,0.25,6,-22.22038914112194,-25.604908274905547,-18.835870007338336,-21.823532913055143,-23.90500145285958,-19.742064373250706,0.8044270833333332,0.8030638471450325,0.8057903195216339,40.7445707070707,37.75584744369359,43.73329397044781,1.0,1.0,1.0
5,inflight_sco_ucb,0.5,6,-40.05385492064306,-43.25989165638837,-36.847818184897754,-40.298267706740106,-42.2259756673595,-38.37055974612071,0.7800347222222221,0.7774165727249391,0.7826528717195051,41.73787878787879,36.08783194370486,47.38792563205272,1.0,1.0,1.0
5,inflight_sco_ucb,1.0,6,-57.60068442623998,-59.46888433573808,-55.73248451674188,-56.33634168522553,-57.66053399902991,-55.012149371421145,0.7458333333333335,0.7434906005293755,0.7481760661372914,43.51797138047138,38.33167017163194,48.70427258931082,0.9848484848484849,0.9551515151515152,1.0145454545454546
5,inflight_sco_ucb,2.0,6,-68.0112048460802,-69.67945710594951,-66.3429525862109,-66.37982190586195,-67.49744607583773,-65.26219773588616,0.7075520833333333,0.7047285978432873,0.7103755688233793,43.88110269360269,39.407233566437014,48.35497182076837,0.9848484848484849,0.9551515151515152,1.0145454545454546
5,inflight_sco_ucb,4.0,6,-71.50110534290762,-73.16038716233234,-69.8418235234829,-69.80358826171467,-71.12223017810439,-68.48494634532494,0.6811631944444444,0.6781996504385546,0.6841267384503342,43.14141414141414,39.1401139255636,47.14271435726468,0.9663299663299663,0.9242802917828079,1.0083796408771246
