seed,profile,method,inflight_beta,forward_mean,feedback_mean,round_trip_mean,round_trip_p95,round_trip_p99,round_trip_max,post_cost,total_cost,delivery_rate,ack_rate,redundant_attempt_rate,stale_arrival_rate,mean_inflight_per_slot,max_inflight_count,detected_fraction,calendar_delay,observation_delay
20266007,fixed,sco,,2.0,2.0,4.0,4.0,4.0,4,4181.883776270505,4287.270385413596,0.89953125,0.995,0.80109375,0.0,19.95,5,0.9428571428571428,47.39393939393939,7.424242424242424
20266007,fixed,forced,,2.0,2.0,4.0,4.0,4.0,4,3841.3663747333744,3998.0897330660227,0.899140625,0.995,0.79203125,0.00017374685083832854,19.95,5,0.9714285714285714,44.970588235294116,7.4411764705882355
20266007,fixed,pa16,16.0,2.0,2.0,4.0,4.0,4.0,4,487.0169901697794,523.2726049315131,0.898515625,0.995,0.262890625,0.0,19.95,5,0.9428571428571428,47.18181818181818,7.454545454545454
20266007,fixed,stopwait,1000000.0,2.0,2.0,4.0,4.0,4.0,4,539.9245484092326,607.5356479171905,0.8975,0.995,0.0,0.0,19.95,1,0.9714285714285714,42.64705882352941,7.205882352941177
20266007,light_iid,true,,2.0010829207920793,1.9996596534653466,4.000742574257425,6.0,6.0,6,1222.1449525174207,1258.6293701995648,0.709140625,0.99484375,0.6484375,0.08972352634324465,19.9634375,6,nan,nan,nan
20266007,light_iid,sco,,2.0010829207920793,1.9996596534653466,4.000742574257425,6.0,6.0,6,3338.846090195614,3486.0768694453486,0.67234375,0.994765625,0.78265625,0.12204450625869263,19.9625,7,0.8571428571428571,48.56666666666667,7.433333333333334
20266007,light_iid,forced,,2.0010829207920793,1.9996596534653466,4.000742574257425,6.0,6.0,6,3122.9818493062626,3236.813838649391,0.681328125,0.99515625,0.772265625,0.11618617575547065,19.9678125,7,0.8857142857142857,50.74193548387097,7.419354838709677
20266007,light_iid,pa16,16.0,2.0010829207920793,1.9996596534653466,4.000742574257425,6.0,6.0,6,511.6235275153676,549.9481529549116,0.86453125,0.99484375,0.327265625,0.01782918768481475,19.9584375,7,0.9714285714285714,47.85294117647059,7.588235294117647
20266007,light_iid,stopwait,1000000.0,2.0010829207920793,1.9996596534653466,4.000742574257425,6.0,6.0,6,582.1821373089012,634.9259744758986,0.8928125,0.995078125,0.095703125,0.0035667681600695953,19.9625,4,1.0,41.885714285714286,7.285714285714286
20266007,heavy_iid,true,,2.004641089108911,2.00990099009901,4.014542079207921,12.0,22.0,22,648.7286793748356,684.6175285972649,0.82125,0.995,0.67875,0.0637391304347826,19.949375,7,nan,nan,nan
20266007,heavy_iid,sco,,2.004641089108911,2.00990099009901,4.014542079207921,12.0,22.0,22,1471.0773708060003,1539.9836311488286,0.837421875,0.994921875,0.743359375,0.061712299000434595,19.955625,7,0.9142857142857143,48.3125,7.53125
20266007,heavy_iid,forced,,2.004641089108911,2.00990099009901,4.014542079207921,12.0,22.0,22,1435.4197137215226,1499.3840340401837,0.836015625,0.995625,0.741171875,0.06393328700486449,19.979375,7,0.9142857142857143,43.40625,7.4375
20266007,heavy_iid,pa16,16.0,2.004641089108911,2.00990099009901,4.014542079207921,12.0,22.0,22,528.1576461082295,577.8944350151492,0.82078125,0.995703125,0.38671875,0.07214254671881791,19.9475,7,0.8285714285714286,50.689655172413794,7.379310344827586
20266007,heavy_iid,stopwait,1000000.0,2.004641089108911,2.00990099009901,4.014542079207921,12.0,22.0,22,1306.361106661,1362.453848155851,0.880703125,0.994765625,0.095625,0.015316334522669915,19.96,7,0.9428571428571428,43.666666666666664,7.393939393939394
20266007,lognormal,true,,2.318579826732673,2.3462407178217823,4.6648205445544555,14.0,33.0,83,848.501755924886,889.3532700314455,0.75453125,0.993984375,0.694609375,0.08310875423802486,22.1853125,7,nan,nan,nan
20266007,lognormal,sco,,2.318579826732673,2.3462407178217823,4.6648205445544555,14.0,33.0,83,2106.359096876081,2168.703792828546,0.741640625,0.993125,0.782578125,0.08651421615511695,22.09375,8,0.9142857142857143,47.8125,7.4375
20266007,lognormal,forced,,2.318579826732673,2.3462407178217823,4.6648205445544555,14.0,33.0,83,2003.7277689982925,2078.2677691985336,0.739609375,0.9934375,0.77703125,0.08794363256784969,22.1096875,8,0.9142857142857143,46.40625,7.28125
