family,success_probability,delay_slots,capacity,capacity_ratio,method,frozen_inflight_beta,seeds,post_cost_mean,post_cost_ci_low,post_cost_ci_high,total_cost_mean,total_cost_ci_low,total_cost_ci_high,post_ratio_to_reference_mean,post_ratio_to_reference_ci_low,post_ratio_to_reference_ci_high,total_ratio_to_reference_mean,total_ratio_to_reference_ci_low,total_ratio_to_reference_ci_high,delivery_rate_mean,delivery_rate_ci_low,delivery_rate_ci_high,redundant_attempt_rate_mean,redundant_attempt_rate_ci_low,redundant_attempt_rate_ci_high,max_inflight_count_mean,max_inflight_count_ci_low,max_inflight_count_ci_high,detected_fraction_mean,detected_fraction_ci_low,detected_fraction_ci_high,calendar_delay_mean,calendar_delay_ci_low,calendar_delay_ci_high,observation_delay_mean,observation_delay_ci_low,observation_delay_ci_high
delay,0.9,3,4,0.2,ps_forced_reset_ucb,16.0,12,2409.760207317855,2272.768432639509,2546.7519819962013,2567.5479284499365,2441.6712166387883,2693.4246402610847,1.0272042944213176,1.0171321911196427,1.0372763977229924,1.0513309216418627,1.0417464171353317,1.0609154261483937,0.8970117187500001,0.8951953050057178,0.8988281324942824,0.7422395833333333,0.7419011861467973,0.7425779805198692,4.0,4.0,4.0,0.9619399128523053,0.9440637202146485,0.9798161054899621,42.899557827332664,41.88906517256762,43.91005048209771,7.377766037289594,7.30949737353675,7.4460347010424375
delay,0.9,3,4,0.2,inflight_sco_ucb,16.0,12,527.1399588599536,494.14243761504383,560.1374801048634,580.6643791341646,550.7375646626771,610.5911936056522,0.22450189636951415,0.22209233919387417,0.22691145354515413,0.2377213081701436,0.2345332599328831,0.24090935640740413,0.8971028645833335,0.8953268647757895,0.8988788643908776,0.10986979166666667,0.10576165087714548,0.11397793245618787,4.0,4.0,4.0,0.9514833071661445,0.9284006691277199,0.9745659452045691,43.63563394335878,42.639419488774465,44.6318483979431,7.321987265079624,7.260256544595248,7.383717985564
delay,0.9,5,4,0.2,true,16.0,12,6854.003912611893,6429.514515655378,7278.493309568407,7045.254484210703,6677.767887267863,7412.741081153542,1.0,1.0,1.0,1.0,1.0,1.0,0.8947265624999999,0.8927614884644183,0.8966916365355816,0.8317643229166666,0.83141807735704,0.8321105684762932,6.0,6.0,6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
delay,0.9,5,4,0.2,sco_reset_ucb,16.0,12,7500.814222696573,7081.192353616102,7920.436091777044,7842.672792214635,7460.1623367636175,8225.183247665653,1.0957780884023036,1.0831213142997156,1.1084348625048916,1.1140914675703881,1.0986438948325938,1.1295390403081824,0.8947200520833333,0.8929494614502461,0.8964906427164204,0.8327864583333334,0.8324930444143979,0.833079872252269,6.0,6.0,6.0,0.9578048441906942,0.9374168661800281,0.9781928222013604,48.47611438028193,47.50889646320022,49.44333229736363,7.364318985062019,7.288465793107267,7.4401721770167715
delay,0.9,5,4,0.2,ps_forced_reset_ucb,16.0,12,6878.980301458446,6512.508825054125,7245.451777862767,7252.0143306934,6904.06204932587,7599.966612060929,1.0053917307765465,0.9912873814167175,1.0194960801363757,1.030227749766582,1.0172105031170937,1.0432449964160702,0.8947265624999999,0.8928325577455642,0.8966205672544356,0.8225911458333331,0.8223110501293015,0.8228712415373648,6.0,6.0,6.0,0.9538051793431995,0.9300988379663273,0.9775115207200717,47.84320233702425,46.05731145650956,49.629093217538944,7.360565811007528,7.280609084392813,7.440522537622243
delay,0.9,5,4,0.2,inflight_sco_ucb,16.0,12,1158.17457550654,1085.9324914468539,1230.416659566226,1277.086643296789,1210.3082315358506,1343.8650550577272,0.16903199929919754,0.16684173933708155,0.17122225926131354,0.18136398710439497,0.178141417277986,0.18458655693080395,0.8948828124999998,0.8931016152278868,0.8966640097721128,0.4403059895833333,0.4346934274525217,0.44591855171414485,6.0,6.0,6.0,0.9549101558225482,0.9328142272571301,0.9770060843879663,46.45498732301717,45.25305985583124,47.6569147902031,7.37567218142904,7.3013241622341685,7.450020200623911
capacity,0.9,1,2,0.1,true,16.0,12,2485.042615685264,2332.2632139354823,2637.822017435046,2585.181524795415,2449.615546243595,2720.747503347235,1.0,1.0,1.0,1.0,1.0,1.0,0.8980078125,0.8960144677306646,0.9000011572693353,0.5152994791666666,0.5142450079252765,0.5163539504080568,2.0,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
capacity,0.9,1,2,0.1,sco_reset_ucb,16.0,12,2753.752612596061,2600.5926842733297,2906.9125409187927,2888.495938830892,2747.9629144138275,3029.0289632479567,1.1095458199464896,1.0953851541514856,1.1237064857414936,1.1182340343825867,1.1036837234062677,1.1327843453589057,0.8978906249999999,0.8957364599589347,0.9000447900410652,0.5169921875,0.5163783838447472,0.5176059911552527,2.0,2.0,2.0,0.9385112795626842,0.9209514127936719,0.9560711463316965,79.79340580319506,77.4699218184437,82.11688978794642,7.415282983069698,7.349126476820901,7.481439489318495
capacity,0.9,1,2,0.1,ps_forced_reset_ucb,16.0,12,2674.318133068909,2525.273731083114,2823.362535054704,2825.010091206632,2686.8721234807595,2963.1480589325042,1.0776029249534196,1.0607383948085747,1.0944674550982645,1.093620669998645,1.0791354977006358,1.1081058422966543,0.8982291666666667,0.8962091919388833,0.9002491413944502,0.5041666666666665,0.5030057938610715,0.5053275394722616,2.0,2.0,2.0,0.9476644960710837,0.9212730319107999,0.9740559602313675,80.9514713743162,77.86888900696732,84.03405374166508,7.467147358257272,7.347650173810527,7.586644542704017
capacity,0.9,1,2,0.1,inflight_sco_ucb,16.0,12,741.1492792533901,698.5094579032412,783.7891006035389,792.1750055178092,752.6115365719742,831.7384744636441,0.29857759735708667,0.29382646220515984,0.3033287325090135,0.30663514801934416,0.3021777875105134,0.31109250852817494,0.8979427083333333,0.895893919854986,0.8999914968116807,0.0,0.0,0.0,1.0,1.0,1.0,0.936506727741956,0.9129201313088605,0.9600933241750514,80.70697889808267,79.32921712288037,82.08474067328497,7.418631813093492,7.348995417520904,7.48826820866608
