success_probability,delay_slots,capacity,capacity_ratio,method,post_change_slot,independent_seeds,cumulative_excess_pct_mean,cumulative_excess_pct_ci_low,cumulative_excess_pct_ci_high
0.9,1,2,0.1,cumulative_ucb_cv,310,12,17.201633729217694,15.46697825860858,18.936289199826806
0.9,1,2,0.1,cumulative_ucb_cv,320,12,17.012749249906683,15.249064958989978,18.77643354082339
0.9,1,2,0.1,cumulative_ucb_cv,330,12,16.869021914598676,15.153873108053206,18.584170721144147
0.9,1,2,0.1,cumulative_ucb_cv,340,12,16.555072232429385,14.795957416030308,18.31418704882846
0.9,1,2,0.1,cumulative_ucb_cv,350,12,16.400339471195295,14.68356882099008,18.11711012140051
0.9,1,2,0.1,cumulative_ucb_cv,360,12,16.417739334531912,14.595226721339872,18.240251947723955
0.9,1,2,0.1,cumulative_ucb_cv,370,12,16.153220948571484,14.32194696560969,17.984494931533277
0.9,1,2,0.1,cumulative_ucb_cv,380,12,15.965337856493877,14.14610800933639,17.784567703651362
0.9,1,2,0.1,cumulative_ucb_cv,390,12,15.878758487139963,14.111161052442586,17.64635592183734
0.9,1,2,0.1,cumulative_ucb_cv,400,12,15.767257255336313,14.03734421372406,17.497170296948568
0.9,1,2,0.1,sco_reset_ucb,10,12,31.175321011908924,22.506719869796513,39.843922154021335
0.9,1,2,0.1,sco_reset_ucb,20,12,32.47998016876779,26.22484847078772,38.73511186674786
0.9,1,2,0.1,sco_reset_ucb,30,12,28.874422431316887,24.161013509251624,33.58783135338215
0.9,1,2,0.1,sco_reset_ucb,40,12,28.99872612939038,24.56301367863771,33.43443858014305
0.9,1,2,0.1,sco_reset_ucb,50,12,27.47907751010008,22.93941555833263,32.018739461867526
0.9,1,2,0.1,sco_reset_ucb,60,12,26.65222522381399,22.512937424125425,30.791513023502553
0.9,1,2,0.1,sco_reset_ucb,70,12,25.54398791894015,21.460401900232362,29.627573937647938
0.9,1,2,0.1,sco_reset_ucb,80,12,23.903034903571704,20.259609598737068,27.54646020840634
0.9,1,2,0.1,sco_reset_ucb,90,12,22.79979700512365,19.75063834219931,25.848955668047992
0.9,1,2,0.1,sco_reset_ucb,100,12,21.429024268332146,18.477893511985233,24.38015502467906
0.9,1,2,0.1,sco_reset_ucb,110,12,20.770161485818306,17.818583591639907,23.721739379996706
0.9,1,2,0.1,sco_reset_ucb,120,12,19.979748632702314,17.182691323858048,22.77680594154658
0.9,1,2,0.1,sco_reset_ucb,130,12,19.173814437501495,16.444949114615603,21.902679760387386
0.9,1,2,0.1,sco_reset_ucb,140,12,18.20460318168134,15.891992552872923,20.517213810489757
0.9,1,2,0.1,sco_reset_ucb,150,12,17.589239050439385,15.296415823749498,19.882062277129272
0.9,1,2,0.1,sco_reset_ucb,160,12,16.83335864265433,14.751859488410192,18.914857796898463
0.9,1,2,0.1,sco_reset_ucb,170,12,16.284056781126356,14.02873413414426,18.53937942810845
0.9,1,2,0.1,sco_reset_ucb,180,12,15.597136351401694,13.7317771700484,17.46249553275499
0.9,1,2,0.1,sco_reset_ucb,190,12,15.202175516917444,13.516517312751564,16.887833721083325
0.9,1,2,0.1,sco_reset_ucb,200,12,14.49229797740878,12.799105928581147,16.185490026236412
0.9,1,2,0.1,sco_reset_ucb,210,12,13.794371843013492,12.11624644107702,15.472497244949963
0.9,1,2,0.1,sco_reset_ucb,220,12,13.485925964946842,11.934799986772326,15.037051943121359
0.9,1,2,0.1,sco_reset_ucb,230,12,13.052560611741512,11.610946581613804,14.49417464186922
0.9,1,2,0.1,sco_reset_ucb,240,12,12.961752878468745,11.611605125198937,14.311900631738554
0.9,1,2,0.1,sco_reset_ucb,250,12,12.946067519503117,11.673654867095095,14.218480171911139
0.9,1,2,0.1,sco_reset_ucb,260,12,12.818678736099939,11.535973358938463,14.101384113261414
0.9,1,2,0.1,sco_reset_ucb,270,12,12.849700576768333,11.500044581169332,14.199356572367334
0.9,1,2,0.1,sco_reset_ucb,280,12,12.764448791797898,11.435684408918288,14.093213174677508
0.9,1,2,0.1,sco_reset_ucb,290,12,12.745101475384383,11.478947814398083,14.011255136370682
0.9,1,2,0.1,sco_reset_ucb,300,12,12.510157767325893,11.242719297856643,13.777596236795143
0.9,1,2,0.1,sco_reset_ucb,310,12,12.29112238346089,11.014912992472189,13.56733177444959
0.9,1,2,0.1,sco_reset_ucb,320,12,12.211932660880976,10.789590589144192,13.63427473261776
0.9,1,2,0.1,sco_reset_ucb,330,12,12.100742912392164,10.759656372087601,13.441829452696727
0.9,1,2,0.1,sco_reset_ucb,340,12,11.833431351985586,10.455621178374086,13.211241525597087
0.9,1,2,0.1,sco_reset_ucb,350,12,11.634000862405367,10.320878635764652,12.947123089046082
