profile,method,seeds,post_cost_mean,post_cost_ci_low,post_cost_ci_high,total_cost_mean,total_cost_ci_low,total_cost_ci_high,delivery_rate_mean,delivery_rate_ci_low,delivery_rate_ci_high,ack_rate_mean,ack_rate_ci_low,ack_rate_ci_high,redundant_attempt_rate_mean,redundant_attempt_rate_ci_low,redundant_attempt_rate_ci_high,stale_arrival_rate_mean,stale_arrival_rate_ci_low,stale_arrival_rate_ci_high,mean_inflight_per_slot_mean,mean_inflight_per_slot_ci_low,mean_inflight_per_slot_ci_high,max_inflight_count_mean,max_inflight_count_ci_low,max_inflight_count_ci_high,detected_fraction_mean,detected_fraction_ci_low,detected_fraction_ci_high,calendar_delay_mean,calendar_delay_ci_low,calendar_delay_ci_high,observation_delay_mean,observation_delay_ci_low,observation_delay_ci_high
heavy_iid,true,12,557.7786382587168,519.8327641491475,595.7245123682861,570.3898918760626,532.043010090766,608.7367736613593,0.8208854166666667,0.8192821587026217,0.8224886746307117,0.9949153645833332,0.994725511350883,0.9951052178157833,0.6767643229166667,0.6742620652813882,0.6792665805519451,0.06479138901341928,0.06314564095735802,0.06643713706948055,19.934322916666666,19.810440485214414,20.058205348118918,6.833333333333333,6.506666666666666,7.16,nan,nan,nan,nan,nan,nan,nan,nan,nan
heavy_iid,sco,12,1261.2886689190962,1179.7623756052496,1342.8149622329427,1295.1239933198387,1212.8301713018193,1377.4178153378582,0.8328255208333334,0.8308470837980182,0.8348039578686486,0.9949609374999998,0.9947028453651506,0.995219029634849,0.7444075520833334,0.7425510619504461,0.7462640422162208,0.06468930460901107,0.06358769612541137,0.06579091309261076,19.930494791666668,19.795933599709922,20.065055983623413,8.0,7.758740677680508,8.241259322319491,0.9099897185375126,0.876166055864911,0.9438133812101143,45.595938962580824,44.67762626457884,46.51425166058281,7.467325680452716,7.3853289248895075,7.549322436015925
heavy_iid,forced,12,1221.6612536992461,1141.0727129998902,1302.249794398602,1254.69767147965,1174.7183340123659,1334.677008946934,0.8316927083333335,0.8297480031740444,0.8336374134926227,0.9950781249999999,0.9947843077627724,0.9953719422372275,0.7405273437500001,0.7390826270615364,0.7419720604384638,0.06518439842505984,0.06402432502506121,0.06634447182505847,19.929739583333333,19.792553425078754,20.066925741587912,7.833333333333333,7.506666666666666,8.16,0.902310387236858,0.8872389433445237,0.9173818311291922,44.659176965058464,43.74997256333781,45.568381366779114,7.4480732738497695,7.3952342404680715,7.500912307231467
heavy_iid,pa16,12,470.23062358837814,440.06302769541077,500.3982194813455,490.4536533342279,460.52051298141214,520.3867936870437,0.8173958333333334,0.8156796640270954,0.8191120026395715,0.9950325520833333,0.9947923121876148,0.9952727919790518,0.3868424479166667,0.38049436185215874,0.3931905339811747,0.07509003737276912,0.07376585691275378,0.07641421783278446,19.941354166666667,19.80808431368817,20.074624019645164,7.166666666666667,6.946428044928674,7.38690528840466,0.8798208967326615,0.8523000699258171,0.9073417235395059,47.363290407116885,45.460145247951615,49.266435566282155,7.778233458351992,7.289865311161059,8.266601605542926
heavy_iid,stopwait,12,1204.469631331104,1119.252711611418,1289.68655105079,1276.460005945129,1201.6911228924018,1351.2288889978563,0.880559895833333,0.8784430927354255,0.8826766989312406,0.9949479166666668,0.9947553923124338,0.9951404410208998,0.09304687499999999,0.08765653359057332,0.09843721640942665,0.014830095190905121,0.013615768307501712,0.01604442207430853,19.914401041666665,19.790585856704855,20.038216226628474,5.833333333333333,5.427233380468066,6.2394332861986,0.9245151738717916,0.9006888216452463,0.9483415260983369,45.06114918110569,44.04299597223567,46.07930238997571,7.447744998268763,7.351696586414527,7.543793410122999
lognormal,true,12,721.4724705643597,673.8514276924452,769.0935134362742,735.2776853973759,685.739633320159,784.8157374745928,0.7564583333333333,0.754278565670485,0.7586381009961817,0.9941471354166667,0.9939245501730269,0.9943697206603064,0.7001041666666666,0.6970576978142362,0.7031506355190971,0.08133172515176115,0.07985377799379148,0.08280967230973083,22.521067708333334,22.36700353640914,22.675131880257528,7.333333333333333,7.054751063962002,7.611915602704664,nan,nan,nan,nan,nan,nan,nan,nan,nan
lognormal,sco,12,1784.043945248651,1658.2601089370155,1909.8277815602864,1827.1112352330365,1710.8448940172232,1943.3775764488498,0.7385677083333334,0.7361063277264802,0.7410290889401866,0.9939973958333334,0.9937628615335136,0.9942319301331531,0.7859049479166668,0.7840643128497821,0.7877455829835515,0.08884409091946743,0.0873729711625879,0.09031521067634697,22.513880208333333,22.351348797758536,22.67641161890813,9.166666666666666,8.84,9.493333333333332,0.904844147583118,0.8875837811409064,0.9221045140253297,45.99389216796058,44.43981511972171,47.547969216199455,7.521970408855142,7.345407844782447,7.698532972927837
lognormal,forced,12,1706.5209897317472,1584.859686958946,1828.1822925045485,1752.6518847282312,1639.8719282636528,1865.4318411928095,0.7404296874999999,0.7376555471974547,0.7432038278025451,0.9939518229166667,0.9936464684218042,0.9942571774115293,0.7809505208333333,0.7791011846776872,0.7827998569889794,0.08768591357636764,0.08625140239313474,0.08912042475960054,22.503463541666665,22.344796779909213,22.662130303424117,9.083333333333334,8.705061078218186,9.461605588448482,0.8870481518459461,0.8536227700665429,0.9204735336253493,46.3716159392449,44.89257490833905,47.850656970150744,7.504762116104,7.375242174878732,7.634282057329267
lognormal,pa16,12,544.2879268621199,509.928834418873,578.6470193053667,563.4205866763373,531.6137423579383,595.2274309947362,0.8169205729166668,0.8140307118009144,0.8198104340324192,0.9941666666666665,0.9939156692089095,0.9944176641244236,0.44511067708333335,0.4397645940950973,0.4504567600715694,0.05530010991268045,0.053919284606069935,0.05668093521929097,22.508515624999998,22.35293799210166,22.664093257898337,8.666666666666666,8.22618942319068,9.107143910142652,0.8767274028303441,0.8454573448160698,0.9079974608446184,47.84059631034776,45.61938912870688,50.06180349198865,7.5970782884127575,7.209815245060319,7.984341331765196
lognormal,stopwait,12,917.9889561997129,858.3687514953252,977.6091609041006,971.4550326546768,914.4570663973464,1028.4529989120072,0.8587890625,0.8565117985250666,0.8610663264749333,0.9941210937499999,0.9938774278004638,0.994364759699536,0.20525390624999998,0.19865998471916121,0.21184782778083874,0.030457269177010277,0.029436890965753304,0.03147764738826725,22.499635416666667,22.354310976950007,22.644959856383327,6.833333333333333,6.506666666666666,7.16,0.9020978979618685,0.8796978432930229,0.924497952630714,44.670396001039364,43.921689970254604,45.419102031824124,7.4256931692670465,7.352879257663852,7.498507080870241
markov_burst,true,12,776.2206717260452,717.755262263348,834.6860811887425,797.4428421600629,738.8083722643952,856.0773120557307,0.8123372395833334,0.8101095025872037,0.814564976579463,0.9950390625000001,0.9946372336839948,0.9954408913160053,0.6235481770833333,0.6219731852350756,0.625123168931591,0.07864312513668184,0.0767331824226927,0.08055306785067098,20.089375,20.000482373527422,20.17826762647258,11.5,10.796614248686032,12.203385751313968,nan,nan,nan,nan,nan,nan,nan,nan,nan
markov_burst,sco,12,2116.241906624064,1979.196448878467,2253.287364369661,2192.626036158072,2056.963795390876,2328.2882769252683,0.8128450520833331,0.8104258813222512,0.815264222844415,0.9947786458333332,0.9944098559437234,0.995147435722943,0.7536588541666666,0.7527303280798749,0.7545873802534582,0.061564568493811776,0.059767358414561364,0.06336177857306219,20.10760416666667,20.008719474250427,20.20648885908291,13.0,13.0,13.0,0.9243550280314986,0.8946017037775715,0.9541083522854257,48.33068408197957,46.706718536541004,49.954649627418135,7.601253068416145,7.260429407646999,7.94207672918529
markov_burst,forced,12,2014.1698197849992,1884.955775565966,2143.3838640040326,2094.6867070873127,1965.1526142374491,2224.2207999371763,0.8144401041666667,0.8124201734079317,0.8164600349254016,0.9950455729166667,0.994585248311568,0.9955058975217654,0.7455338541666667,0.7449360799954998,0.7461316283378336,0.06054459364935591,0.058643013861398724,0.062446173437313096,20.112161458333336,20.018013599494157,20.206309317172515,12.916666666666666,12.753333333333332,13.08,0.9536383399434872,0.9373692426181777,0.9699074372687968,46.20360034731774,44.82823804676574,47.57896264786974,7.3949125985982755,7.274563438605767,7.515261758590784
markov_burst,pa16,12,503.07515947009284,470.78461861292936,535.3657003272564,531.2969790345542,497.1045045722543,565.489453496854,0.8637434895833334,0.8621060152701632,0.8653809638965035,0.9950260416666667,0.9947619399926704,0.9952901433406631,0.33440755208333334,0.33193910023321954,0.33687600393344713,0.024184017738087343,0.023200152110885518,0.02516788336528917,20.069687499999997,19.970454222544095,20.1689207774559,11.75,11.32350974290854,12.17649025709146,0.9466855704907174,0.9286071021381028,0.9647640388433321,47.08372403640123,45.31239605341806,48.855052019384395,7.604915096160066,7.249209638119584,7.960620554200547
markov_burst,stopwait,12,1059.6798848411543,986.7842345753643,1132.5755351069442,1128.5307510271625,1052.216046259827,1204.845455794498,0.8928645833333334,0.8913942482494704,0.8943349184171964,0.99505859375,0.9949030231983979,0.9952141643016023,0.07514973958333333,0.0715355915385847,0.07876388762808197,0.003981199581462033,0.0036115405145834114,0.0043508586483406555,19.961119791666665,19.875138643887986,20.047100939445343,7.083333333333333,6.424455346130693,7.742211320535973,0.9550428288479759,0.9287261079847204,0.9813595497112313,45.55046174979168,44.14339915543697,46.95752434414639,7.388778317875915,7.291234309492499,7.486322326259331
