seed,family,success_probability,delay_slots,capacity,capacity_ratio,frozen_inflight_beta,sco_post_cost,pipeline_post_cost,pipeline_reduction_vs_sco_pct,sco_redundant_attempt_rate,pipeline_redundant_attempt_rate,redundant_attempt_reduction,sco_calendar_delay,pipeline_calendar_delay
20261003,delay,0.9,3,4,0.2,16.0,2203.6396054351194,459.70031708085395,79.13904270248928,0.752890625,0.1203125,0.632578125,40.609756097560975,43.5
20261003,delay,0.9,5,4,0.2,16.0,6550.996181905283,1016.2665602530057,84.48683937474932,0.8325,0.444375,0.388125,46.7,46.53846153846154
20261003,capacity,0.9,1,2,0.1,16.0,2438.602828900459,664.600359095669,72.74667480824131,0.51515625,0.0,0.51515625,74.92307692307692,80.46153846153847
20261003,capacity,0.9,1,4,0.2,16.0,409.18044346632996,170.2864881662632,58.38352226130389,0.521875,0.001796875,0.520078125,39.35897435897436,41.205128205128204
20261003,capacity,0.9,1,8,0.4,16.0,97.91925832887905,73.5715463648801,24.865090258570863,0.5362890625,0.0620703125,0.47421874999999997,20.89189189189189,22.21951219512195
20261004,delay,0.9,0,4,0.2,16.0,132.64033380518336,132.64033380518336,0.0,0.0,0.0,0.0,44.885714285714286,44.885714285714286
20261004,delay,0.9,1,4,0.2,16.0,566.231380000136,238.18518987240606,57.935007086264136,0.523203125,0.003046875,0.52015625,44.34285714285714,44.114285714285714
20261004,delay,0.9,3,4,0.2,16.0,3060.973233712387,655.525495712043,78.5844094129169,0.7521875,0.11703125,0.63515625,43.82857142857143,47.77142857142857
20261004,delay,0.9,5,4,0.2,16.0,9075.915446566298,1434.2064074858804,84.19766671549935,0.83265625,0.4475,0.38515625,50.97142857142857,50.4
20261004,capacity,0.9,1,2,0.1,16.0,3308.891954192821,899.2759398478615,72.82244472478602,0.51609375,0.0,0.51609375,86.48484848484848,84.03030303030303
20261004,capacity,0.9,1,4,0.2,16.0,566.231380000136,238.18518987240606,57.935007086264136,0.523203125,0.003046875,0.52015625,44.34285714285714,44.114285714285714
20261004,capacity,0.9,1,8,0.4,16.0,131.43722135990208,100.22719521897085,23.745196237427887,0.5296484375,0.0580859375,0.4715625,23.151515151515152,23.441176470588236
20261005,delay,0.9,0,4,0.2,16.0,104.76023460658348,104.76023460658348,0.0,0.0,0.0,0.0,40.46875,40.46875
20261005,delay,0.9,1,4,0.2,16.0,434.791578157725,182.1187963378986,58.11354094999669,0.5215625,0.00265625,0.51890625,40.25,41.0
20261005,delay,0.9,3,4,0.2,16.0,2367.165384068537,480.8936043949341,79.68483285403558,0.752578125,0.106171875,0.64640625,41.625,43.0625
20261005,delay,0.9,5,4,0.2,16.0,7031.401705346176,1060.4979086395285,84.91768849114108,0.832890625,0.426875,0.406015625,46.58064516129032,47.1875
20261005,capacity,0.9,1,2,0.1,16.0,2511.6572338352626,676.920328253012,73.0488571794741,0.516875,0.0,0.516875,78.25806451612904,81.84375
20261005,capacity,0.9,1,4,0.2,16.0,434.791578157725,182.1187963378986,58.11354094999669,0.5215625,0.00265625,0.51890625,40.25,41.0
20261005,capacity,0.9,1,8,0.4,16.0,104.52108814959396,78.63188914310348,24.769354648735597,0.53265625,0.0541015625,0.4785546875000001,22.15625,21.806451612903224
20261006,delay,0.9,0,4,0.2,16.0,116.01279565857284,116.01279565857284,0.0,0.0,0.0,0.0,45.567567567567565,45.567567567567565
20261006,delay,0.9,1,4,0.2,16.0,486.70475042819606,202.51595328053367,58.39038901872995,0.523125,0.002734375,0.520390625,41.75675675675676,43.30769230769231
20261006,delay,0.9,3,4,0.2,16.0,2644.223886974996,545.4384857575938,79.37245448676519,0.7528125,0.1075,0.6453125,44.648648648648646,45.83783783783784
20261006,delay,0.9,5,4,0.2,16.0,7748.413039306182,1190.0061088777513,84.64193760914547,0.832109375,0.44796875,0.384140625,46.567567567567565,49.675
20261006,capacity,0.9,1,2,0.1,16.0,2882.289625808664,770.1257965531016,73.28076298588374,0.51703125,0.0,0.51703125,84.17948717948718,81.48717948717949
20261006,capacity,0.9,1,4,0.2,16.0,486.70475042819606,202.51595328053367,58.39038901872995,0.523125,0.002734375,0.520390625,41.75675675675676,43.30769230769231
20261006,capacity,0.9,1,8,0.4,16.0,114.62538335606558,86.04398854145431,24.93461219303206,0.530703125,0.0536328125,0.47707031250000004,22.0,25.975
20261007,delay,0.9,0,4,0.2,16.0,102.817639912966,102.817639912966,0.0,0.0,0.0,0.0,40.89473684210526,40.89473684210526
20261007,delay,0.9,1,4,0.2,16.0,424.77293399420336,176.87190837316433,58.36083370237097,0.521953125,0.00234375,0.519609375,41.36842105263158,41.45945945945946
20261007,delay,0.9,3,4,0.2,16.0,2251.7465134110766,460.5597597597918,79.54655388531681,0.75265625,0.096484375,0.6561718750000001,41.526315789473685,41.8421052631579
20261007,delay,0.9,5,4,0.2,16.0,6654.995221553389,1005.023576470369,84.89820739141297,0.83328125,0.447578125,0.385703125,50.10526315789474,45.36842105263158
20261007,capacity,0.9,1,2,0.1,16.0,2461.630419900408,664.9797921569071,72.98620512725827,0.5165625,0.0,0.5165625,79.48648648648648,80.37837837837837
20261007,capacity,0.9,1,4,0.2,16.0,424.77293399420336,176.87190837316433,58.36083370237097,0.521953125,0.00234375,0.519609375,41.36842105263158,41.45945945945946
20261007,capacity,0.9,1,8,0.4,16.0,101.51409654115395,76.30230895289144,24.835750351224984,0.5275390625,0.05203125,0.47550781250000007,21.81081081081081,21.68421052631579
20261008,delay,0.9,0,4,0.2,16.0,99.47918165918257,99.47918165918257,0.0,0.0,0.0,0.0,41.83870967741935,41.83870967741935
20261008,delay,0.9,1,4,0.2,16.0,414.8954610254199,172.3804295666413,58.45208112409794,0.52328125,0.002734375,0.5205468750000001,42.61290322580645,43.58064516129032
20261008,delay,0.9,3,4,0.2,16.0,2202.3480458948193,456.1710252634034,79.2870601849827,0.752421875,0.109609375,0.6428125,42.696969696969695,43.354838709677416
20261008,delay,0.9,5,4,0.2,16.0,6562.222669683208,1008.1757085710849,84.63667328405735,0.83328125,0.45578125,0.37749999999999995,48.5,47.516129032258064
20261008,capacity,0.9,1,2,0.1,16.0,2395.83581094548,629.8693642842954,73.70982763481913,0.51875,0.0,0.51875,81.0909090909091,82.42424242424242
20261008,capacity,0.9,1,4,0.2,16.0,414.8954610254199,172.3804295666413,58.45208112409794,0.52328125,0.002734375,0.5205468750000001,42.61290322580645,43.58064516129032
20261008,capacity,0.9,1,8,0.4,16.0,99.89251690077174,75.351843863974,24.567078494153098,0.5368359375,0.0578125,0.47902343750000004,23.06451612903226,23.0
20261009,delay,0.9,0,4,0.2,16.0,121.21834351449144,121.21834351449144,0.0,0.0,0.0,0.0,41.774193548387096,41.774193548387096
20261009,delay,0.9,1,4,0.2,16.0,508.665036664058,211.37439935327697,58.44526670448616,0.52171875,0.003203125,0.518515625,42.96774193548387,42.064516129032256
20261009,delay,0.9,3,4,0.2,16.0,2757.698076263555,572.4244397886124,79.24267182416871,0.753046875,0.10265625,0.650390625,39.75,44.71875
20261009,delay,0.9,5,4,0.2,16.0,8238.108401771917,1274.0757990319453,84.53436472433518,0.832890625,0.44859375,0.384296875,49.935483870967744,46.645161290322584
20261009,capacity,0.9,1,2,0.1,16.0,3023.6590311850046,825.2450829026556,72.70707198161715,0.5184375,0.0,0.5184375,84.375,81.38709677419355
20261009,capacity,0.9,1,4,0.2,16.0,508.665036664058,211.37439935327697,58.44526670448616,0.52171875,0.003203125,0.518515625,42.96774193548387,42.064516129032256
20261009,capacity,0.9,1,8,0.4,16.0,124.86605293431404,94.27928791330922,24.495660992099296,0.52921875,0.05375,0.47546874999999994,23.06451612903226,22.06896551724138
20261010,delay,0.9,0,4,0.2,16.0,112.00330240474734,112.00330240474734,0.0,0.0,0.0,0.0,41.432432432432435,41.432432432432435
20261010,delay,0.9,1,4,0.2,16.0,464.26391944007486,196.40912920442793,57.69450931243871,0.521171875,0.002421875,0.5187499999999999,42.351351351351354,41.78378378378378
20261010,delay,0.9,3,4,0.2,16.0,2511.174455637668,528.7168019276135,78.94543723393542,0.753203125,0.100859375,0.65234375,44.72222222222222,44.111111111111114
20261010,delay,0.9,5,4,0.2,16.0,7427.388999469204,1151.6890196892127,84.494025830995,0.833359375,0.427578125,0.40578125000000004,50.567567567567565,44.457142857142856
20261010,capacity,0.9,1,2,0.1,16.0,2717.9662590571006,748.4424270990996,72.46314502231,0.51578125,0.0,0.51578125,83.79411764705883,84.05882352941177
20261010,capacity,0.9,1,4,0.2,16.0,464.26391944007486,196.40912920442793,57.69450931243871,0.521171875,0.002421875,0.5187499999999999,42.351351351351354,41.78378378378378
20261010,capacity,0.9,1,8,0.4,16.0,111.38341047663418,84.74197686752673,23.918672893120153,0.527421875,0.05109375,0.47632812500000005,21.085714285714285,21.8
20261011,delay,0.9,0,4,0.2,16.0,116.48515776242427,116.48515776242427,0.0,0.0,0.0,0.0,40.57575757575758,40.57575757575758
20261011,delay,0.9,1,4,0.2,16.0,481.57699870038533,203.40750682826305,57.76220471966236,0.523359375,0.00296875,0.520390625,41.09090909090909,42.15151515151515
20261011,delay,0.9,3,4,0.2,16.0,2591.221202395949,545.0646222964622,78.9649520545574,0.753203125,0.1128125,0.640390625,42.515151515151516,42.36363636363637
20261011,delay,0.9,5,4,0.2,16.0,7685.804136175049,1198.7860864299782,84.40259385758208,0.83359375,0.436875,0.39671875,48.0,45.666666666666664
20261011,capacity,0.9,1,2,0.1,16.0,2820.2246202675196,746.1862304631948,73.54160285316516,0.518125,0.0,0.518125,75.6875,77.36666666666666
20261011,capacity,0.9,1,4,0.2,16.0,481.57699870038533,203.40750682826305,57.76220471966236,0.523359375,0.00296875,0.520390625,41.09090909090909,42.15151515151515
20261011,capacity,0.9,1,8,0.4,16.0,115.3605845185613,86.16848410484184,25.305090586657442,0.5326171875,0.05984375,0.4727734375,21.375,21.424242424242426
