family,success_probability,delay_slots,capacity,capacity_ratio,method,seeds,total_excess_pct_mean,total_excess_pct_ci_low,total_excess_pct_ci_high,pre_excess_pct_mean,pre_excess_pct_ci_low,pre_excess_pct_ci_high,post_excess_pct_mean,post_excess_pct_ci_low,post_excess_pct_ci_high,delivery_rate_mean,delivery_rate_ci_low,delivery_rate_ci_high,detected_fraction_mean,detected_fraction_ci_low,detected_fraction_ci_high,calendar_delay_mean,calendar_delay_ci_low,calendar_delay_ci_high,observation_delay_mean,observation_delay_ci_low,observation_delay_ci_high,pre_alarms_mean,pre_alarms_ci_low,pre_alarms_ci_high,post_unchanged_alarms_mean,post_unchanged_alarms_ci_low,post_unchanged_alarms_ci_high
delay,0.9,1,4,0.2,sco_reset_ucb,12,8.429276888689678,7.5589731292836895,9.299580648095667,9.859265027557843,8.709023835716323,11.009506219399363,6.908490140724311,6.003164972811965,7.813815308636657,0.8994661458333334,0.8975458447627549,0.9013864469039119,0.951019305233796,0.9263749224887519,0.9756636879788401,41.598933283127444,40.81781263624087,42.380053930014014,7.416023846003885,7.352598247382512,7.479449444625257,1.75,0.90991162081095,2.59008837918905,0.8333333333333334,0.3029284946211539,1.3637381720455128
delay,0.9,1,4,0.2,ps_forced_reset_ucb,12,7.4838041679138065,6.565464046384095,8.402144289443518,9.048313317162155,7.693908037901899,10.40271859642241,5.828058800605515,4.864708076484945,6.791409524726085,0.8994791666666667,0.8975847086683041,0.9013736246650293,0.9515077933119541,0.9264494269789982,0.97656615964491,41.2252360005386,40.54427546509213,41.906196535985075,7.352286723161709,7.27809587988963,7.426477566433787,1.8333333333333333,1.0034106157434861,2.6632560509231804,0.75,0.26,1.24
delay,0.9,3,4,0.2,cumulative_ucb_cv,12,12.951884592759571,12.00619601233134,13.897573173187801,12.652038626450796,11.19904665769333,14.105030595208262,13.420974374047601,12.296652286840489,14.545296461254713,0.8970507812500003,0.8952175275448947,0.8988840349551058,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
delay,0.9,3,4,0.2,sco_reset_ucb,12,10.45214692489015,9.529107809822975,11.375186039957324,12.680823122931585,11.224483452371992,14.137162793491179,8.15372113413054,7.404581728575822,8.902860539685259,0.8970963541666667,0.895170049879777,0.8990226584535563,0.9651612677258302,0.945579508487477,0.9847430269641835,42.11033009634783,41.1315894270445,43.08907076565116,7.387827887284321,7.314063986244332,7.46159178832431,1.8333333333333333,1.0034106157434861,2.6632560509231804,1.0,0.40903776462758323,1.5909622353724169
delay,0.9,3,4,0.2,ps_forced_reset_ucb,12,5.279794244537062,4.288773297768942,6.270815191305181,7.623260234065076,6.2276325556548215,9.01888791247533,2.8548308778856,1.8445363850800933,3.8651253706911066,0.8970117187500001,0.8951953050057178,0.8988281324942824,0.9619399128523053,0.9440637202146485,0.9798161054899621,42.899557827332664,41.88906517256762,43.91005048209771,7.377766037289594,7.30949737353675,7.4460347010424375,1.8333333333333333,1.0034106157434861,2.6632560509231804,0.75,0.398307124343016,1.101692875656984
delay,0.9,5,4,0.2,cumulative_ucb_cv,12,13.789893118120895,12.073065368827102,15.506720867414689,13.398161883602441,11.298414512184625,15.497909255020257,14.337392862569352,12.735949044274538,15.938836680864167,0.89466796875,0.892876963055559,0.896458974444441,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
delay,0.9,5,4,0.2,sco_reset_ucb,12,11.59407892365231,9.999984774733012,13.188173072571608,13.437793845103544,11.302054618096813,15.573533072110274,9.771051294337063,8.461430764012364,11.080671824661762,0.8947200520833333,0.8929494614502461,0.8964906427164204,0.9578048441906942,0.9374168661800281,0.9781928222013604,48.47611438028193,47.50889646320022,49.44333229736363,7.364318985062019,7.288465793107267,7.4401721770167715,1.8333333333333333,0.9690545717189003,2.6976120949477664,1.0,0.5174813553610156,1.4825186446389844
delay,0.9,5,4,0.2,ps_forced_reset_ucb,12,3.265304703746527,1.9743469472591166,4.5562624602339366,5.752489632010469,4.06568402211416,7.439295241906777,0.6992719592328821,-0.6782291393041063,2.0767730577698704,0.8947265624999999,0.8928325577455642,0.8966205672544356,0.9538051793431995,0.9300988379663273,0.9775115207200717,47.84320233702425,46.05731145650956,49.629093217538944,7.360565811007528,7.280609084392813,7.440522537622243,1.9166666666666667,1.0651089733478258,2.7682243599855076,0.6666666666666666,0.22618942319068175,1.1071439101426515
capacity,0.9,1,2,0.1,cumulative_ucb_cv,12,14.423169607412609,12.936538466298764,15.909800748526454,13.0239869311726,11.167932505950798,14.8800413563944,16.10492550342129,14.325330063049474,17.884520943793103,0.8980078125,0.8957779203524507,0.9002377046475492,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
capacity,0.9,1,2,0.1,sco_reset_ucb,12,12.11850530651357,10.636817171049348,13.600193441977794,13.047016712211045,11.180914959324772,14.913118465097318,11.22568081389587,9.727631915753154,12.723729712038587,0.8978906249999999,0.8957364599589347,0.9000447900410652,0.9385112795626842,0.9209514127936719,0.9560711463316965,79.79340580319506,77.4699218184437,82.11688978794642,7.415282983069698,7.349126476820901,7.481439489318495,0.75,0.2038259795577415,1.2961740204422585,0.4166666666666667,0.038394411551519514,0.7949389217818139
capacity,0.9,1,2,0.1,ps_forced_reset_ucb,12,9.635452628886023,8.171987363198436,11.09891789457361,11.31952617605468,9.443132751552538,13.195919600556822,7.944701175583112,6.252635918883376,9.636766432282847,0.8982291666666667,0.8962091919388833,0.9002491413944502,0.9476644960710837,0.9212730319107999,0.9740559602313675,80.9514713743162,77.86888900696732,84.03405374166508,7.467147358257272,7.347650173810527,7.586644542704017,0.75,0.2038259795577415,1.2961740204422585,0.4166666666666667,-0.09274674128606891,0.9260800746194022
capacity,0.9,1,4,0.2,cumulative_ucb_cv,12,10.845999472352139,9.93316969237382,11.758829252330457,9.85834654951156,8.703174292867992,11.01351880615513,12.082897679569927,10.855294943280928,13.310500415858925,0.8992317708333332,0.8973622777431454,0.901101263923521,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
capacity,0.9,1,4,0.2,sco_reset_ucb,12,8.429276888689678,7.5589731292836895,9.299580648095667,9.859265027557843,8.709023835716323,11.009506219399363,6.908490140724311,6.003164972811965,7.813815308636657,0.8994661458333334,0.8975458447627549,0.9013864469039119,0.951019305233796,0.9263749224887519,0.9756636879788401,41.598933283127444,40.81781263624087,42.380053930014014,7.416023846003885,7.352598247382512,7.479449444625257,1.75,0.90991162081095,2.59008837918905,0.8333333333333334,0.3029284946211539,1.3637381720455128
capacity,0.9,1,4,0.2,ps_forced_reset_ucb,12,7.4838041679138065,6.565464046384095,8.402144289443518,9.048313317162155,7.693908037901899,10.40271859642241,5.828058800605515,4.864708076484945,6.791409524726085,0.8994791666666667,0.8975847086683041,0.9013736246650293,0.9515077933119541,0.9264494269789982,0.97656615964491,41.2252360005386,40.54427546509213,41.906196535985075,7.352286723161709,7.27809587988963,7.426477566433787,1.8333333333333333,1.0034106157434861,2.6632560509231804,0.75,0.26,1.24
capacity,0.9,1,8,0.4,cumulative_ucb_cv,12,5.416348470289507,4.955446109826704,5.87725083075231,4.3328682801227325,3.746150222561041,4.919586337684424,6.729786285892085,6.0646881878355945,7.394884383948575,0.8983561197916665,0.8969060045825537,0.8998062350007794,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
capacity,0.9,1,8,0.4,sco_reset_ucb,12,3.744043510578265,3.331762840823919,4.156324180332611,4.387275544947883,3.791446233352878,4.983104856542888,3.004495335010589,2.5896418360672633,3.4193488339539146,0.8984928385416667,0.8970099887289066,0.8999756883544269,0.949296222422591,0.9274410540008425,0.9711513908443395,21.73232435764457,21.161596451990345,22.30305226329879,7.4014039226592585,7.330813966499925,7.4719938788185924,3.6666666666666665,2.633655964344996,4.699677368988337,2.4166666666666665,1.2481560027370764,3.585177330596257
capacity,0.9,1,8,0.4,ps_forced_reset_ucb,12,4.072975532537288,3.667217228267424,4.478733836807152,4.934572827604598,4.35533012734223,5.513815527866967,3.08176171887712,2.7290602923369667,3.434463145417273,0.8985611979166666,0.8971047764811284,0.9000176193522047,0.9603793105322217,0.9440324677615118,0.9767261533029316,21.465467877321526,20.938693799730785,21.992241954912267,7.383649021985122,7.326606656331806,7.440691387638439,3.6666666666666665,2.633655964344996,4.699677368988337,1.5,0.6818498322620126,2.318150167737987
